Nome do Curso,Módulo,Nome do Módulo,Aula,Duração,Data Início,Data Fim,Status
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,4,Jornada de Orientação de Carreira,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,5,Projeto Prático I,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,6,Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
Cientista de Dados,7,Estatística com Python,N/D,N/D,N/D,N/D,Pendente
